date,period,symbol,best_bid,best_ask,mid_price,spread,best_bid_depth,best_ask_depth,deep_bid_depth,deep_ask_depth,imbalance,skewness,kurtosis,volatility,row_total_qty,row_vwa_price,prop_participated,is_prop_buy,prop_price,prop_qty
26082019,0,ZENSARTECH,22860,22900,22880.0,40,11.0,26.0,102.0,127.0,-0.40540540540540543,-0.5182945957486048,1.5833545205140203,0.0019674287688449255,100,22850.0,False,,,
26082019,1,ZENSARTECH,22870,22900,22885.0,30,17.0,26.0,93.0,127.0,-0.20930232558139536,-0.893405896130408,2.365445243431977,0.0019674287688449255,0,0,False,,,
26082019,2,ZENSARTECH,22870,22895,22882.5,25,19.0,5.0,75.0,107.0,0.5833333333333334,-1.2756244621827457,3.409079974202169,0.0019674287688449255,0,0,True,True,22505,5
26082019,3,ZENSARTECH,22870,22895,22882.5,25,19.0,5.0,75.0,107.0,0.5833333333333334,-1.2756244621827457,3.409079974202169,0.0019674287688449255,0,0,False,,,
26082019,4,ZENSARTECH,22870,22895,22882.5,25,19.0,5.0,75.0,107.0,0.5833333333333334,-1.2756244621827457,3.409079974202169,0.0019674287688449255,0,0,False,,,
26082019,5,ZENSARTECH,22870,22895,22882.5,25,19.0,5.0,75.0,107.0,0.5833333333333334,-1.2756244621827457,3.409079974202169,0.0019674287688449255,0,0,False,,,
26082019,6,ZENSARTECH,22895,22900,22897.5,5,45.0,26.0,95.0,127.0,0.2676056338028169,0.6642893424261247,2.051516558723959,0.0019674287688449255,0,0,True,True,22875,5
26082019,7,ZENSARTECH,22895,22900,22897.5,5,45.0,26.0,95.0,127.0,0.2676056338028169,0.6642893424261247,2.051516558723959,0.0019674287688449255,0,0,False,,,
26082019,8,ZENSARTECH,22510,22890,22700.0,380,22.0,45.0,121.0,127.0,-0.34328358208955223,-0.026897044258765872,1.113583067941745,0.02304748907888564,116,22793.23275862069,True,False,22950,22
26082019,9,ZENSARTECH,22520,22890,22705.0,370,5.0,22.0,104.0,194.0,-0.6296296296296297,-0.5953588071015724,1.4791320792528488,0.02304748907888564,0,0,True,True,22515,5
26082019,10,ZENSARTECH,22520,22780,22650.0,260,5.0,20.0,104.0,392.0,-0.6,-1.4048584208699013,3.067095671098399,0.02350180721745117,0,0,True,False,22885,233
26082019,11,ZENSARTECH,22520,22780,22650.0,260,5.0,20.0,104.0,138.0,-0.6,-0.23374402583265447,1.1749904576741514,0.02350180721745117,0,0,False,,,
26082019,12,ZENSARTECH,22535,22780,22657.5,245,5.0,20.0,82.0,138.0,-0.6,-0.44818875172373196,1.3333868778786795,0.02350180721745117,0,0,True,True,22525,4
26082019,13,ZENSARTECH,22540,22780,22660.0,240,5.0,11.0,128.0,129.0,-0.375,0.0008489269102475602,1.1218821764848603,0.02350180721745117,5,22780.0,True,True,22825,4
26082019,14,ZENSARTECH,22545,22780,22662.5,235,5.0,6.0,128.0,124.0,-0.09090909090909091,0.02316461598024347,1.1093030136188453,0.02466668006522614,5,22780.0,True,True,22545,5
26082019,15,ZENSARTECH,22700,22775,22737.5,75,3.0,5.0,77.0,102.0,-0.25,-0.23123462767844974,1.1638719411208553,0.02578039787464752,4,22605.0,True,False,22875,20
26082019,16,ZENSARTECH,22705,22775,22740.0,70,5.0,4.0,58.0,78.0,0.1111111111111111,-0.34132042888845676,1.342719413880662,0.02578039787464752,0,0,True,True,22705,5
26082019,17,ZENSARTECH,22705,22775,22740.0,70,5.0,4.0,58.0,78.0,0.1111111111111111,-0.34132042888845676,1.342719413880662,0.02578039787464752,0,0,False,,,
26082019,18,ZENSARTECH,22705,22775,22740.0,70,5.0,4.0,58.0,78.0,0.1111111111111111,-0.34132042888845676,1.342719413880662,0.02578039787464752,0,0,False,,,
26082019,19,ZENSARTECH,22705,22775,22740.0,70,5.0,4.0,58.0,78.0,0.1111111111111111,-0.34132042888845676,1.342719413880662,0.02578039787464752,0,0,False,,,
26082019,20,ZENSARTECH,22705,22775,22740.0,70,5.0,4.0,58.0,78.0,0.1111111111111111,-0.34132042888845676,1.342719413880662,0.02578039787464752,0,0,False,,,
26082019,21,ZENSARTECH,22705,22775,22740.0,70,5.0,4.0,58.0,78.0,0.1111111111111111,-0.34132042888845676,1.342719413880662,0.02578039787464752,0,0,False,,,
26082019,22,ZENSARTECH,22705,22775,22740.0,70,5.0,4.0,58.0,78.0,0.1111111111111111,-0.34132042888845676,1.342719413880662,0.02578039787464752,0,0,False,,,
26082019,23,ZENSARTECH,22710,22775,22742.5,65,5.0,1.0,58.0,75.0,0.6666666666666666,-0.2741056701630675,1.2375973534566802,0.02585615261996523,0,0,True,True,22440,25
26082019,24,ZENSARTECH,22710,22775,22742.5,65,5.0,1.0,58.0,75.0,0.6666666666666666,-0.2741056701630675,1.2375973534566802,0.02585615261996523,0,0,False,,,
26082019,25,ZENSARTECH,22710,22775,22742.5,65,5.0,1.0,58.0,75.0,0.6666666666666666,-0.2741056701630675,1.2375973534566802,0.02585615261996523,0,0,False,,,
26082019,26,ZENSARTECH,22715,22775,22745.0,60,5.0,1.0,58.0,75.0,0.6666666666666666,-0.3534068739355234,1.3493603486598575,0.02585615261996523,0,0,True,True,22715,5
26082019,27,ZENSARTECH,22720,22775,22747.5,55,5.0,1.0,58.0,75.0,0.6666666666666666,-0.2891095417074036,1.2541165349094305,0.02585615261996523,0,0,True,True,22720,5
26082019,28,ZENSARTECH,22725,22775,22750.0,50,5.0,1.0,58.0,75.0,0.6666666666666666,-0.2969064654799506,1.2622113081294026,0.02585615261996523,0,0,True,True,22725,5
26082019,29,ZENSARTECH,22725,22775,22750.0,50,5.0,1.0,58.0,75.0,0.6666666666666666,-0.2969064654799506,1.2622113081294026,0.02585615261996523,0,0,False,,,
26082019,30,ZENSARTECH,22725,22775,22750.0,50,5.0,1.0,58.0,75.0,0.6666666666666666,-0.2969064654799506,1.2622113081294026,0.02585615261996523,0,0,False,,,
26082019,31,ZENSARTECH,22725,22775,22750.0,50,5.0,1.0,58.0,75.0,0.6666666666666666,-0.2969064654799506,1.2622113081294026,0.02585615261996523,0,0,False,,,
26082019,32,ZENSARTECH,22725,22775,22750.0,50,5.0,1.0,58.0,75.0,0.6666666666666666,-0.2969064654799506,1.2622113081294026,0.02585615261996523,0,0,False,,,
26082019,33,ZENSARTECH,22725,22775,22750.0,50,5.0,1.0,58.0,75.0,0.6666666666666666,-0.2969064654799506,1.2622113081294026,0.02585615261996523,0,0,True,True,22510,28
26082019,34,ZENSARTECH,22730,22775,22752.5,45,5.0,1.0,58.0,75.0,0.6666666666666666,-0.30487161436848426,1.2701474236534114,0.02585615261996523,0,0,True,True,22730,5
26082019,35,ZENSARTECH,22730,22775,22752.5,45,5.0,1.0,58.0,75.0,0.6666666666666666,-0.30487161436848426,1.2701474236534114,0.02585615261996523,0,0,False,,,
26082019,36,ZENSARTECH,22730,22775,22752.5,45,5.0,1.0,58.0,75.0,0.6666666666666666,-0.30487161436848426,1.2701474236534114,0.02585615261996523,0,0,False,,,
26082019,37,ZENSARTECH,22730,22775,22752.5,45,5.0,1.0,58.0,75.0,0.6666666666666666,-0.30487161436848426,1.2701474236534114,0.02585615261996523,0,0,False,,,
26082019,38,ZENSARTECH,22730,22775,22752.5,45,5.0,1.0,58.0,75.0,0.6666666666666666,-0.30487161436848426,1.2701474236534114,0.02585615261996523,0,0,False,,,
26082019,39,ZENSARTECH,22730,22775,22752.5,45,5.0,1.0,58.0,75.0,0.6666666666666666,-0.30487161436848426,1.2701474236534114,0.02585615261996523,0,0,False,,,
26082019,40,ZENSARTECH,22730,22775,22752.5,45,5.0,1.0,58.0,75.0,0.6666666666666666,-0.30487161436848426,1.2701474236534114,0.02585615261996523,0,0,False,,,
26082019,41,ZENSARTECH,22730,22775,22752.5,45,5.0,1.0,58.0,75.0,0.6666666666666666,-0.30487161436848426,1.2701474236534114,0.02585615261996523,0,0,False,,,
26082019,42,ZENSARTECH,22730,22775,22752.5,45,5.0,1.0,58.0,75.0,0.6666666666666666,-0.30487161436848426,1.2701474236534114,0.02585615261996523,0,0,False,,,
26082019,43,ZENSARTECH,22730,22775,22752.5,45,5.0,1.0,58.0,75.0,0.6666666666666666,-0.30487161436848426,1.2701474236534114,0.02585615261996523,0,0,False,,,
26082019,44,ZENSARTECH,22730,22775,22752.5,45,5.0,1.0,58.0,80.0,0.6666666666666666,-0.37015190902607203,1.3021914200818219,0.02585615261996523,0,0,True,False,22885,27
26082019,45,ZENSARTECH,22735,22775,22755.0,40,5.0,1.0,34.0,80.0,0.6666666666666666,-0.946876440791196,2.2172534532397834,0.02585615261996523,0,0,True,True,22735,5
26082019,46,ZENSARTECH,22735,22775,22755.0,40,5.0,1.0,34.0,80.0,0.6666666666666666,-0.946876440791196,2.2172534532397834,0.02585615261996523,0,0,False,,,
26082019,47,ZENSARTECH,22730,22775,22752.5,45,1.0,1.0,34.0,79.0,0.0,-0.6698173081854883,2.0811759776693486,0.02585615261996523,0,0,True,True,22710,5
26082019,48,ZENSARTECH,22730,22775,22752.5,45,1.0,1.0,34.0,79.0,0.0,-0.6698173081854883,2.0811759776693486,0.02585615261996523,0,0,True,True,22580,28
26082019,49,ZENSARTECH,22730,22775,22752.5,45,1.0,1.0,34.0,79.0,0.0,-0.6698173081854883,2.0811759776693486,0.02585615261996523,0,0,False,,,
26082019,50,ZENSARTECH,22730,22775,22752.5,45,1.0,1.0,34.0,79.0,0.0,-0.6698173081854883,2.0811759776693486,0.02585615261996523,0,0,False,,,
26082019,51,ZENSARTECH,22730,22775,22752.5,45,1.0,1.0,34.0,79.0,0.0,-0.6698173081854883,2.0811759776693486,0.02585615261996523,0,0,False,,,
26082019,52,ZENSARTECH,22730,22775,22752.5,45,1.0,1.0,34.0,79.0,0.0,-0.6698173081854883,2.0811759776693486,0.02585615261996523,0,0,False,,,
26082019,53,ZENSARTECH,22730,22775,22752.5,45,1.0,1.0,34.0,79.0,0.0,-0.6698173081854883,2.0811759776693486,0.02585615261996523,0,0,False,,,
26082019,54,ZENSARTECH,22730,22775,22752.5,45,1.0,1.0,34.0,79.0,0.0,-0.6698173081854883,2.0811759776693486,0.02585615261996523,0,0,True,True,22705,5
26082019,55,ZENSARTECH,22730,22775,22752.5,45,1.0,1.0,34.0,79.0,0.0,-0.6698173081854883,2.0811759776693486,0.02585615261996523,0,0,False,,,
26082019,56,ZENSARTECH,22730,22775,22752.5,45,1.0,1.0,34.0,79.0,0.0,-0.6698173081854883,2.0811759776693486,0.02585615261996523,0,0,False,,,
26082019,57,ZENSARTECH,22730,22775,22752.5,45,1.0,1.0,34.0,79.0,0.0,-0.6698173081854883,2.0811759776693486,0.02585615261996523,0,0,False,,,
26082019,58,ZENSARTECH,22710,22775,22742.5,65,5.0,1.0,58.0,79.0,0.6666666666666666,-0.23427936020448623,1.395336405880135,0.025871133030097665,1,22730.0,True,False,22880,20
26082019,59,ZENSARTECH,22710,22775,22742.5,65,6.0,1.0,58.0,79.0,0.7142857142857143,-0.23515144622294645,1.3962270881059293,0.025871133030097665,0,0,True,True,22710,5
26082019,60,ZENSARTECH,22710,22775,22742.5,65,5.0,1.0,66.0,79.0,0.6666666666666666,-0.15320512775116818,1.3359541791363312,0.025871133030097665,0,0,True,True,22715,5
26082019,61,ZENSARTECH,22710,22775,22742.5,65,7.0,1.0,66.0,79.0,0.75,-0.15480679442734416,1.3370251768655523,0.025871133030097665,0,0,True,True,22710,5
26082019,62,ZENSARTECH,22710,22775,22742.5,65,7.0,1.0,66.0,79.0,0.75,-0.15480679442734416,1.3370251768655523,0.025871133030097665,0,0,False,,,
26082019,63,ZENSARTECH,22710,22775,22742.5,65,7.0,1.0,66.0,79.0,0.75,-0.15480679442734416,1.3370251768655523,0.025871133030097665,0,0,False,,,
26082019,64,ZENSARTECH,22710,22775,22742.5,65,5.0,1.0,66.0,79.0,0.6666666666666666,-0.15320512775116818,1.3359541791363312,0.025871133030097665,0,0,True,True,22605,20
26082019,65,ZENSARTECH,22710,22775,22742.5,65,5.0,1.0,66.0,79.0,0.6666666666666666,-0.15320512775116818,1.3359541791363312,0.025871133030097665,0,0,False,,,
26082019,66,ZENSARTECH,22710,22775,22742.5,65,5.0,1.0,66.0,79.0,0.6666666666666666,-0.15320512775116818,1.3359541791363312,0.025871133030097665,0,0,False,,,
26082019,67,ZENSARTECH,22710,22775,22742.5,65,5.0,1.0,66.0,79.0,0.6666666666666666,-0.15320512775116818,1.3359541791363312,0.025871133030097665,0,0,False,,,
26082019,68,ZENSARTECH,22710,22775,22742.5,65,5.0,1.0,66.0,79.0,0.6666666666666666,-0.15320512775116818,1.3359541791363312,0.025871133030097665,0,0,False,,,
26082019,69,ZENSARTECH,22710,22775,22742.5,65,5.0,1.0,66.0,79.0,0.6666666666666666,-0.15320512775116818,1.3359541791363312,0.025871133030097665,0,0,False,,,
26082019,70,ZENSARTECH,22710,22775,22742.5,65,5.0,1.0,66.0,79.0,0.6666666666666666,-0.15320512775116818,1.3359541791363312,0.025871133030097665,0,0,False,,,
26082019,71,ZENSARTECH,22710,22775,22742.5,65,5.0,1.0,66.0,79.0,0.6666666666666666,-0.15320512775116818,1.3359541791363312,0.025871133030097665,0,0,False,,,
26082019,72,ZENSARTECH,22710,22775,22742.5,65,5.0,1.0,66.0,79.0,0.6666666666666666,-0.15320512775116818,1.3359541791363312,0.025871133030097665,0,0,False,,,
26082019,73,ZENSARTECH,22710,22775,22742.5,65,5.0,1.0,66.0,79.0,0.6666666666666666,-0.15320512775116818,1.3359541791363312,0.025871133030097665,0,0,False,,,
26082019,74,ZENSARTECH,22710,22775,22742.5,65,8.0,1.0,66.0,79.0,0.7777777777777778,-0.1556078401557469,1.3375628346138444,0.025871133030097665,0,0,True,True,22710,5
26082019,75,ZENSARTECH,22710,22775,22742.5,65,8.0,1.0,66.0,79.0,0.7777777777777778,-0.1556078401557469,1.3375628346138444,0.025871133030097665,0,0,False,,,
26082019,76,ZENSARTECH,22710,22775,22742.5,65,3.0,1.0,64.0,79.0,0.5,-0.16225289009300972,1.3217732080275255,0.025871133030097665,0,0,True,True,22605,20
26082019,77,ZENSARTECH,22710,22775,22742.5,65,3.0,1.0,64.0,79.0,0.5,-0.16225289009300972,1.3217732080275255,0.025871133030097665,0,0,False,,,
26082019,78,ZENSARTECH,22710,22775,22742.5,65,3.0,1.0,64.0,79.0,0.5,-0.16225289009300972,1.3217732080275255,0.025871133030097665,0,0,False,,,
26082019,79,ZENSARTECH,22710,22775,22742.5,65,3.0,1.0,64.0,79.0,0.5,-0.16225289009300972,1.3217732080275255,0.025871133030097665,0,0,False,,,
26082019,80,ZENSARTECH,22710,22775,22742.5,65,3.0,1.0,64.0,79.0,0.5,-0.16225289009300972,1.3217732080275255,0.025871133030097665,0,0,False,,,
26082019,81,ZENSARTECH,22710,22775,22742.5,65,3.0,1.0,64.0,79.0,0.5,-0.16225289009300972,1.3217732080275255,0.025871133030097665,0,0,False,,,
26082019,82,ZENSARTECH,22710,22775,22742.5,65,3.0,1.0,64.0,79.0,0.5,-0.16225289009300972,1.3217732080275255,0.025871133030097665,0,0,False,,,
