Interval,Participation F1,Precision,Recall,Side F1,Price RMSE,Qty RMSE,Trades
09:15 - 10:30,0.473736448119624,0.962059492231906,0.6816915589864071,0.5706207843612424,0.008046544251241627,1.6309897691606192,20311
10:30 - 11:30,0.4594417809362989,0.9167281309927718,0.5541980648325678,0.5467856644819411,0.009358167567953646,1.5098497913832427,12429
11:30 - 12:30,0.4086789583778552,0.923453566182471,0.4933513537079827,0.5980447718900539,0.00857436023692078,1.4450759415928405,11316
12:30 - 13:30,0.4170492717313147,0.9091116519622756,0.5246225421348315,0.5807238714924766,0.009832995906330305,1.4429809837620509,11953
13:30 - 14:30,0.42498355095483653,0.9192953136968177,0.5714656739676218,0.5748661417322835,0.009697037940268478,1.4969654789403366,13202
14:30 - 15:30,0.4787630208411252,0.9465687658853431,0.7104281475201356,0.5962397525894654,0.015843245977179454,1.9189987862845634,16759
