Interval,Participation F1,Precision,Recall,Side F1,Price RMSE,Qty RMSE,Trades
09:15 - 10:30,0.30311331583843804,0.914332784184514,0.052644059758121885,0.7145338737695426,0.0037212692821126324,1.538724343507704,1110
10:30 - 11:30,0.35275364604508697,0.7481481481481481,0.008430717863105175,0.7530864197530864,0.0027005121382975266,1.577795126111869,101
11:30 - 12:30,0.37276962874256975,0.8552631578947368,0.0061118946873530795,0.8073394495412844,0.013219749969992117,1.6260480389937497,65
12:30 - 13:30,0.36386061977601253,0.7142857142857143,0.001834357516279923,0.6666666666666666,0.0023831868052744485,1.2001045098397232,20
13:30 - 14:30,0.35280198173477384,0.6612903225806451,0.003512378994260259,0.6101694915254238,0.01596963507287569,1.5926844135322527,41
14:30 - 15:30,0.3416103888279572,0.7777777777777778,0.02149007862223886,0.7384615384615385,0.0028212190637606086,1.740147145335627,287
