date,period,symbol,best_bid,best_ask,mid_price,spread,best_bid_depth,best_ask_depth,deep_bid_depth,deep_ask_depth,imbalance,skewness,kurtosis,volatility,row_total_qty,row_vwa_price,prop_participated,is_prop_buy,prop_price,prop_qty,ofi,mid_price_velocity,mid_price_volatility
20082019,0,bbbbbbINFY,80395,69990,75192.5,-10405,506.0,115.0,11412.0,5108.0,0.6296296296296297,-2.9166114317967495,23.168204806129832,0,0,0,False,,,,0.0,0,0
20082019,1,bbbbbbINFY,80395,69990,75192.5,-10405,506.0,115.0,697.0,5108.0,0.6296296296296297,-1.4753523980088843,14.926242626481038,0,0,0,False,,,,0.0,0.0,0.0
20082019,2,bbbbbbINFY,80395,69990,75192.5,-10405,506.0,115.0,1368.0,5108.0,0.6296296296296297,-1.391824432452465,12.927451650841578,0,0,0,False,,,,0.0,0.0,0.0
20082019,3,bbbbbbINFY,82500,69990,76245.0,-12510,1.0,115.0,1114.0,5108.0,-0.9827586206896551,-1.2516644989355492,12.223084484125177,0,0,0,False,,,,1.0,263.125,455.74586874156086
20082019,4,bbbbbbINFY,82500,69990,76245.0,-12510,1.0,115.0,1311.0,5108.0,-0.9827586206896551,-1.2297331446735917,11.65396778606735,0,0,0,False,,,,0.0,210.5,515.617590855859
20082019,5,bbbbbbINFY,82500,69990,76245.0,-12510,1.0,115.0,1399.0,5108.0,-0.9827586206896551,-1.2235568088715665,11.437733995574874,0,0,0,False,,,,0.0,175.41666666666666,526.25
20082019,6,bbbbbbINFY,82500,69990,76245.0,-12510,1.0,115.0,1692.0,5013.0,-0.9827586206896551,-1.213401836652224,10.703610172966297,0,0,0,False,,,,0.0,150.35714285714286,520.8524214189266
20082019,7,bbbbbbINFY,82500,69990,76245.0,-12510,1.0,115.0,2040.0,5013.0,-0.9827586206896551,-1.23524679582029,10.333148407625018,0,0,0,False,,,,0.0,131.5625,509.5393714854133
20082019,8,bbbbbbINFY,82500,69990,76245.0,-12510,1.0,115.0,2719.0,5027.0,-0.9827586206896551,-1.2827025731153745,9.819799898954196,0,0,0,False,,,,0.0,116.94444444444444,496.15325813256084
20082019,9,bbbbbbINFY,82500,69990,76245.0,-12510,1.0,115.0,2861.0,5027.0,-0.9827586206896551,-1.2960535642310302,9.757277780366302,0,0,0,False,,,,0.0,105.25,482.31609189410216
