date,period,symbol,best_bid,best_ask,mid_price,spread,best_bid_depth,best_ask_depth,deep_bid_depth,deep_ask_depth,imbalance,skewness,kurtosis,volatility,row_total_qty,row_vwa_price,prop_participated,is_prop_buy,prop_price,prop_qty
23082019,0,bbMINDTREE,69700,69800,69750.0,100,118.0,424.0,449.0,450.0,-0.5645756457564576,-0.5978160541617538,1.7280768707137681,0.0014336920018482857,827,69800.0,False,,,
23082019,1,bbMINDTREE,69700,69795,69747.5,95,171.0,69.0,305.0,518.0,0.425,-1.2371723204254246,3.2576249691777024,0.0014336920018482857,1,69700.0,True,False,69940,600
23082019,2,bbMINDTREE,69700,69780,69740.0,80,170.0,69.0,304.0,518.0,0.4225941422594142,-1.2340679974583044,3.2733097622108995,0.0017501678682055437,1,69700.0,True,False,69790,15
23082019,3,bbMINDTREE,69700,69770,69735.0,70,170.0,19.0,304.0,1048.0,0.798941798941799,-1.8250745908622044,5.275184067984903,0.002017598170507331,35,69770.0,True,False,69775,15
23082019,4,bbMINDTREE,69700,69770,69735.0,70,170.0,19.0,304.0,1048.0,0.798941798941799,-1.8250745908622044,5.275184067984903,0.002017598170507331,0,0,False,,,
23082019,5,bbMINDTREE,69700,69800,69750.0,100,155.0,459.0,289.0,1084.0,-0.495114006514658,-1.8950050318555933,5.533315121797178,0.002017598170507331,15,69700.0,True,False,70015,600
23082019,6,bbMINDTREE,69700,69800,69750.0,100,155.0,478.0,289.0,1103.0,-0.5102685624012638,-1.9151566447469435,5.625708705670007,0.002017598170507331,0,0,True,True,69110,600
23082019,7,bbMINDTREE,69515,69685,69600.0,170,62.0,69.0,415.0,1525.0,-0.05343511450381679,-1.4099529768298664,3.274463935269337,0.0026145854346253435,101,69700.0,True,True,69575,85
23082019,8,bbMINDTREE,69505,69665,69585.0,160,62.0,69.0,415.0,1512.0,-0.05343511450381679,-1.4836041299828944,3.5188375631797935,0.0026145854346253435,0,0,True,True,69205,134
23082019,9,bbMINDTREE,69515,69635,69575.0,120,54.0,69.0,222.0,1969.0,-0.12195121951219512,-2.3544197091646146,7.987145963600125,0.0026145854346253435,0,0,True,False,69700,600
23082019,10,bbMINDTREE,69520,69605,69562.5,85,54.0,69.0,222.0,1969.0,-0.12195121951219512,-2.615654606960766,9.01275876972094,0.0026145854346253435,0,0,True,False,69660,600
23082019,11,bbMINDTREE,69400,69480,69440.0,80,134.0,161.0,763.0,1858.0,-0.09152542372881356,-0.6604369470394056,1.903018745560019,0.003158703310725907,125,69496.64,True,False,69735,600
23082019,12,bbMINDTREE,69400,69455,69427.5,55,134.0,15.0,235.0,1006.0,0.7986577181208053,-0.48062659640323,2.721019352240967,0.003206750791924868,136,69458.78676470589,True,False,69580,600
23082019,13,bbMINDTREE,69420,69475,69447.5,55,69.0,72.0,235.0,1526.0,-0.02127659574468085,-0.6017406739502634,2.2333370628659326,0.003206750791924868,0,0,True,True,68965,600
