date,period,symbol,best_bid,best_ask,mid_price,spread,best_bid_depth,best_ask_depth,deep_bid_depth,deep_ask_depth,imbalance,skewness,kurtosis,volatility,row_total_qty,row_vwa_price,prop_participated,is_prop_buy,prop_price,prop_qty
27082019,0,bbMINDTREE,70550,70600,70575.0,50,50.0,229.0,205.0,261.0,-0.6415770609318996,0.7163312454776549,9.149761391964802,0.0007084662003737918,1300,70600.0,False,,,
27082019,1,bbMINDTREE,70550,70595,70572.5,45,50.0,15.0,240.0,261.0,0.5384615384615384,-1.2673083845179616,7.0121735570880075,0.0007084662003737918,0,0,True,True,63570,600
27082019,2,bbMINDTREE,70550,70595,70572.5,45,50.0,15.0,356.0,387.0,0.5384615384615384,-0.43574984095236746,2.3968759270128683,0.0007084662003737918,0,0,True,True,66325,1800
27082019,3,bbMINDTREE,70550,70595,70572.5,45,50.0,15.0,356.0,387.0,0.5384615384615384,-0.43574984095236746,2.3968759270128683,0.0007084662003737918,0,0,True,True,67180,1800
27082019,4,bbMINDTREE,70550,70595,70572.5,45,50.0,15.0,356.0,387.0,0.5384615384615384,-0.43574984095236746,2.3968759270128683,0.0007084662003737918,0,0,False,,,
27082019,5,bbMINDTREE,70500,70585,70542.5,85,154.0,69.0,384.0,724.0,0.3811659192825112,-0.9103550380154123,2.9074709878342837,0.0010022777377336487,50,70550.0,True,False,71235,600
27082019,6,bbMINDTREE,70505,70565,70535.0,60,54.0,69.0,312.0,724.0,-0.12195121951219512,-0.3601973996944497,1.8600102358229755,0.0010047836756831494,1,70500.0,True,True,70380,98
27082019,7,bbMINDTREE,70505,70560,70532.5,55,65.0,15.0,405.0,382.0,0.625,0.09420713872149161,2.256801037369066,0.0010047836756831494,0,0,True,False,70560,15
27082019,8,bbMINDTREE,70505,70560,70532.5,55,65.0,15.0,405.0,382.0,0.625,0.09420713872149161,2.256801037369066,0.0010047836756831494,0,0,True,True,70005,131
27082019,9,bbMINDTREE,70355,70550,70452.5,195,78.0,69.0,732.0,1021.0,0.061224489795918366,-0.2409365111219741,1.251530479184158,0.0030360984818887595,203,70489.01477832512,True,True,70105,125
27082019,10,bbMINDTREE,70370,70575,70472.5,205,93.0,174.0,768.0,959.0,-0.30337078651685395,-0.09550993184276917,1.2846883354580898,0.0039428707968511435,85,70537.17647058824,True,False,70540,15
27082019,11,bbMINDTREE,70270,70485,70377.5,215,78.0,69.0,743.0,765.0,0.061224489795918366,0.010964309705606832,1.0675172435542086,0.0039428707968511435,0,0,True,True,69945,600
27082019,12,bbMINDTREE,70305,70465,70385.0,160,78.0,69.0,700.0,635.0,0.061224489795918366,0.15238958503314326,1.1494873261677654,0.0039428707968511435,0,0,True,True,70275,15
27082019,13,bbMINDTREE,70330,70435,70382.5,105,69.0,62.0,418.0,924.0,0.05343511450381679,-0.7501975020264212,1.721144512100819,0.004123629828520327,0,0,True,True,70310,15
27082019,14,bbMINDTREE,70360,70490,70425.0,130,69.0,67.0,301.0,350.0,0.014705882352941176,-0.19929293289444838,1.3031832427856047,0.004225967236671437,0,0,True,False,70430,8
27082019,15,bbMINDTREE,70380,70455,70417.5,75,69.0,67.0,700.0,524.0,0.014705882352941176,0.265325794480864,1.2321906325735612,0.004225967236671437,0,0,True,False,70485,13
27082019,16,bbMINDTREE,70285,70435,70360.0,150,44.0,67.0,675.0,309.0,-0.2072072072072072,0.9007991414677256,2.0353166870031756,0.004231351568789059,10,70285.0,True,False,70450,13
27082019,17,bbMINDTREE,70285,70415,70350.0,130,67.0,69.0,313.0,642.0,-0.014705882352941176,-0.6316395408853049,1.5906704062694725,0.005369773710021861,78,70300.0,True,False,70430,15
27082019,18,bbMINDTREE,70320,70490,70405.0,170,67.0,69.0,640.0,642.0,-0.014705882352941176,-0.03528250679131904,1.097599823746207,0.005369773710021861,0,0,True,False,70410,15
27082019,19,bbMINDTREE,70355,70460,70407.5,105,67.0,69.0,711.0,309.0,-0.014705882352941176,0.7787609680502229,1.807150485184346,0.005369773710021861,0,0,True,False,70480,15
27082019,20,bbMINDTREE,70265,70435,70350.0,170,67.0,69.0,619.0,642.0,-0.014705882352941176,0.02616190250296097,1.0987855650220004,0.005613333489539793,21,70255.0,True,True,70240,13
27082019,21,bbMINDTREE,70295,70380,70337.5,85,67.0,69.0,313.0,666.0,-0.014705882352941176,-0.5234679253099966,1.5235919663604804,0.005613333489539793,0,0,True,True,70275,13
27082019,22,bbMINDTREE,70315,70400,70357.5,85,69.0,104.0,310.0,742.0,-0.2023121387283237,-0.7329949049655619,1.801445452252152,0.005621419418213351,85,70379.11764705883,True,True,70300,13
27082019,23,bbMINDTREE,70275,70380,70327.5,105,69.0,56.0,311.0,250.0,0.104,0.39845135734251197,1.675927899903432,0.005621419418213351,0,0,True,False,70395,2
27082019,24,bbMINDTREE,70295,70360,70327.5,65,69.0,56.0,238.0,252.0,0.104,0.19469752085607173,1.6680151029102992,0.005621419418213351,0,0,True,True,70280,15
27082019,25,bbMINDTREE,70310,70360,70335.0,50,15.0,54.0,141.0,241.0,-0.5652173913043478,0.022592658438781187,1.8013296154817224,0.005621419418213351,0,0,True,True,70300,15
27082019,26,bbMINDTREE,70320,70375,70347.5,55,69.0,21.0,741.0,296.0,0.5333333333333333,1.1054486900784204,2.637503431323985,0.005621419418213351,0,0,True,True,69695,250
27082019,27,bbMINDTREE,70340,70395,70367.5,55,69.0,65.0,741.0,329.0,0.029850746268656716,1.0183852164288683,2.544558791369582,0.005621419418213351,0,0,True,True,70175,250
27082019,28,bbMINDTREE,70345,70395,70370.0,50,15.0,65.0,716.0,329.0,-0.625,1.0659111657383888,2.4806082274681676,0.005621419418213351,0,0,True,True,70115,600
27082019,29,bbMINDTREE,70345,70395,70370.0,50,15.0,65.0,716.0,329.0,-0.625,1.0659111657383888,2.4806082274681676,0.005621419418213351,0,0,False,,,
27082019,30,bbMINDTREE,70300,70400,70350.0,100,69.0,104.0,741.0,329.0,-0.2023121387283237,1.0322785447958223,2.47306171522739,0.005621419418213351,0,0,True,True,70350,15
27082019,31,bbMINDTREE,70420,70490,70455.0,70,67.0,54.0,1245.0,206.0,0.10743801652892562,1.224275772839412,3.1696285989246538,0.0056308301493345585,109,70400.6880733945,True,True,70305,15
27082019,32,bbMINDTREE,70420,70500,70460.0,80,55.0,25.0,584.0,331.0,0.375,0.33637261690945686,1.4896602189780181,0.005744598633488287,74,70423.64864864865,True,True,67490,1800
27082019,33,bbMINDTREE,70420,70500,70460.0,80,55.0,25.0,431.0,242.0,0.375,0.2952093003591863,1.697906838292664,0.005744598633488287,0,0,True,True,70175,600
27082019,34,bbMINDTREE,70425,70595,70510.0,170,49.0,102.0,670.0,984.0,-0.3509933774834437,-0.07927390039844856,1.2965526161597922,0.006603504167543182,299,70566.40468227425,True,True,70035,600
27082019,35,bbMINDTREE,70425,70555,70490.0,130,49.0,81.0,670.0,498.0,-0.24615384615384617,0.3593773380934075,1.2979865331354437,0.006603504167543182,0,0,True,True,70380,94
27082019,36,bbMINDTREE,70425,70525,70475.0,100,49.0,54.0,340.0,471.0,-0.04854368932038835,-0.19359259394551243,1.2584693617489564,0.006603504167543182,0,0,True,False,70680,100
27082019,37,bbMINDTREE,70425,70525,70475.0,100,49.0,80.0,490.0,497.0,-0.24031007751937986,0.12746577495681666,1.22556681585913,0.006603504167543182,0,0,False,,,
27082019,38,bbMINDTREE,70500,70570,70535.0,70,59.0,81.0,456.0,496.0,-0.15714285714285714,-0.17393539675830524,1.1836831754808745,0.006603504167543182,0,0,True,False,70590,83
27082019,39,bbMINDTREE,70500,70545,70522.5,45,5.0,26.0,402.0,495.0,-0.6774193548387096,-0.141678235958454,1.1506774881850084,0.006603504167543182,0,0,True,False,70565,15
27082019,40,bbMINDTREE,70500,70530,70515.0,30,5.0,15.0,402.0,441.0,-0.5,-0.04660120412530638,1.1016335025665343,0.006603504167543182,0,0,True,False,70540,15
