date,period,symbol,best_bid,best_ask,mid_price,spread,best_bid_depth,best_ask_depth,deep_bid_depth,deep_ask_depth,imbalance,skewness,kurtosis,volatility,row_total_qty,row_vwa_price,prop_participated,is_prop_buy,prop_price,prop_qty
20082019,0,bbMINDTREE,70560,70570,70565.0,10,200.0,196.0,342.0,319.0,0.010101010101010102,-1.4736177839869027,3.9039678883884688,7.085414676843982e-05,806,70570.0,False,,,
20082019,1,bbMINDTREE,70560,70565,70562.5,5,208.0,14.0,353.0,331.0,0.8738738738738738,-1.404022992813543,3.4905153006886085,0.00010020644551929619,0,0,True,True,63830,1800
20082019,2,bbMINDTREE,70560,70565,70562.5,5,185.0,65.0,905.0,382.0,0.48,0.23490194102005993,1.1521486696768917,0.00010020644551929619,20,70560.0,True,True,67390,1800
20082019,3,bbMINDTREE,70560,70565,70562.5,5,171.0,21.0,891.0,338.0,0.78125,0.3610745643644094,1.3377383576563349,0.00012272877956265895,30,70565.0,True,True,70315,600
20082019,4,bbMINDTREE,70560,70565,70562.5,5,165.0,13.0,885.0,330.0,0.8539325842696629,0.38873054633562815,1.3601309084639586,0.0001735667541925121,9,70564.44444444444,True,True,70355,600
20082019,5,bbMINDTREE,70560,70565,70562.5,5,165.0,13.0,885.0,330.0,0.8539325842696629,0.38873054633562815,1.3601309084639586,0.0001735667541925121,0,0,True,True,69990,600
20082019,6,bbMINDTREE,70560,70565,70562.5,5,165.0,13.0,885.0,330.0,0.8539325842696629,0.38873054633562815,1.3601309084639586,0.0001735667541925121,0,0,True,False,70880,84
20082019,7,bbMINDTREE,70560,70565,70562.5,5,165.0,13.0,885.0,330.0,0.8539325842696629,0.38873054633562815,1.3601309084639586,0.0001735667541925121,0,0,True,False,71420,164
20082019,8,bbMINDTREE,70560,70565,70562.5,5,150.0,13.0,970.0,330.0,0.8404907975460123,0.47368217997639034,1.6551488805527015,0.00018747383756207686,15,70560.0,True,True,70380,100
20082019,9,bbMINDTREE,70560,70565,70562.5,5,150.0,11.0,870.0,878.0,0.8633540372670807,-0.34753214029337737,1.1525476475351946,0.00020041821618700244,2,70565.0,True,True,70385,600
20082019,10,bbMINDTREE,70560,70565,70562.5,5,150.0,11.0,870.0,878.0,0.8633540372670807,-0.353300339904217,1.154419417934001,0.00020041821618700244,0,0,True,True,70350,99
20082019,11,bbMINDTREE,70560,70565,70562.5,5,145.0,11.0,865.0,878.0,0.8589743589743589,-0.34850542233329085,1.1508501180960165,0.00021257582879741552,5,70560.0,True,True,70205,84
20082019,12,bbMINDTREE,70560,70590,70575.0,30,145.0,600.0,865.0,723.0,-0.610738255033557,-0.13945394640056893,1.1148991196592235,0.00031687723680338666,207,70569.7342995169,True,True,70030,147
20082019,13,bbMINDTREE,70560,70590,70575.0,30,145.0,600.0,865.0,723.0,-0.610738255033557,-0.12523048135149517,1.132809791968007,0.00031687723680338666,0,0,True,True,70385,600
20082019,14,bbMINDTREE,70560,70590,70575.0,30,131.0,600.0,851.0,723.0,-0.6415868673050615,-0.11118392531057747,1.1263991557797266,0.0005301923632748181,14,70560.0,False,,,
20082019,15,bbMINDTREE,70565,70590,70577.5,25,10.0,600.0,761.0,821.0,-0.9672131147540983,-0.36988371512831925,1.2546523078327305,0.0005301923632748181,0,0,True,True,70055,155
20082019,16,bbMINDTREE,70565,70590,70577.5,25,10.0,600.0,261.0,821.0,-0.9672131147540983,-2.149756577103,6.43678164756397,0.0005301923632748181,0,0,True,False,70895,151
20082019,17,bbMINDTREE,70565,70585,70575.0,20,10.0,600.0,261.0,821.0,-0.9672131147540983,-2.1166404974537003,6.399520173805153,0.0005349031760235194,0,0,True,False,70585,600
20082019,18,bbMINDTREE,70565,70585,70575.0,20,10.0,600.0,261.0,821.0,-0.9672131147540983,-2.1166404974537003,6.399520173805153,0.0005349031760235194,0,0,False,,,
20082019,19,bbMINDTREE,70380,70575,70477.5,195,93.0,908.0,991.0,1544.0,-0.8141858141858141,-0.5509351431983067,1.4902928488371192,0.0035241149056892368,146,70555.54794520549,True,True,70080,165
20082019,20,bbMINDTREE,70565,70580,70572.5,15,50.0,15.0,803.0,1736.0,0.5384615384615384,-0.9044115543108184,1.8646860895189143,0.0035241149056892368,0,0,True,True,70230,97
20082019,21,bbMINDTREE,70565,70580,70572.5,15,50.0,15.0,106.0,1736.0,0.5384615384615384,-5.006595668991789,27.902184442976534,0.0035241149056892368,0,0,True,False,70715,84
20082019,22,bbMINDTREE,70565,70580,70572.5,15,50.0,15.0,106.0,1736.0,0.5384615384615384,-5.006595668991789,27.902184442976534,0.0035241149056892368,0,0,True,False,70780,84
20082019,23,bbMINDTREE,70565,70580,70572.5,15,50.0,15.0,106.0,1736.0,0.5384615384615384,-5.006595668991789,27.902184442976534,0.0035241149056892368,0,0,False,,,
20082019,24,bbMINDTREE,70565,70580,70572.5,15,50.0,15.0,106.0,1736.0,0.5384615384615384,-5.006595668991789,27.902184442976534,0.0035241149056892368,0,0,False,,,
20082019,25,bbMINDTREE,70565,70580,70572.5,15,50.0,15.0,106.0,1736.0,0.5384615384615384,-5.006595668991789,27.902184442976534,0.0035241149056892368,0,0,False,,,
20082019,26,bbMINDTREE,70565,70580,70572.5,15,50.0,15.0,106.0,1736.0,0.5384615384615384,-5.006595668991789,27.902184442976534,0.0035241149056892368,0,0,True,True,70130,124
20082019,27,bbMINDTREE,70570,70600,70585.0,30,118.0,636.0,185.0,1216.0,-0.6870026525198939,-0.12252171413956955,3.2206205280958553,0.0035283832743100616,435,70599.77011494253,True,True,70330,600
20082019,28,bbMINDTREE,70570,70650,70610.0,80,106.0,50.0,1007.0,531.0,0.358974358974359,0.14006168644289768,1.6756155216319435,0.0035763500848062305,736,70601.35869565218,True,True,70335,600
20082019,29,bbMINDTREE,70575,70665,70620.0,90,41.0,414.0,693.0,717.0,-0.8197802197802198,0.1236849161734265,1.3379630333146928,0.00358334394141379,50,70650.0,True,True,70445,250
20082019,30,bbMINDTREE,70580,70665,70622.5,85,26.0,414.0,692.0,717.0,-0.8818181818181818,0.1199293917429361,1.339103366320913,0.00358334394141379,0,0,True,True,70580,15
20082019,31,bbMINDTREE,70585,70665,70625.0,80,26.0,414.0,567.0,717.0,-0.8818181818181818,-0.022889820202109053,1.3401677391968916,0.00358334394141379,0,0,True,False,70725,250
20082019,32,bbMINDTREE,70605,70680,70642.5,75,39.0,1.0,940.0,814.0,0.95,0.13707755486488138,1.0693940061336897,0.0035861363611009805,2,70670.0,True,True,70045,250
20082019,33,bbMINDTREE,70650,70680,70665.0,30,124.0,1.0,249.0,1229.0,0.984,-2.0680855891541583,6.171754448445691,0.0035861363611009805,0,0,True,True,70570,600
20082019,34,bbMINDTREE,70655,70700,70677.5,45,97.0,50.0,1772.0,1288.0,0.3197278911564626,0.07740590822763195,1.316247262113376,0.003597279640402185,1,70680.0,True,False,70860,98
20082019,35,bbMINDTREE,70655,70725,70690.0,70,38.0,405.0,1713.0,1466.0,-0.8284424379232506,0.021899162482983278,1.3209121764198402,0.003747797747045652,50,70700.0,True,False,70740,250
20082019,36,bbMINDTREE,70655,70725,70690.0,70,16.0,405.0,1190.0,1180.0,-0.9239904988123515,-0.16734674609602188,1.3480611785215013,0.0037504688575628587,22,70655.0,True,True,70530,94
20082019,37,bbMINDTREE,70605,70650,70627.5,45,99.0,1035.0,848.0,2180.0,-0.8253968253968254,0.0156917684850489,1.6168236226183856,0.003921059372072777,604,70650.09933774834,True,True,70205,117
20082019,38,bbMINDTREE,70440,70610,70525.0,170,96.0,69.0,1155.0,1860.0,0.16363636363636364,-0.44230431480433435,1.269325402085782,0.0041934633563994635,1,70500.0,True,True,70575,15
20082019,39,bbMINDTREE,70440,70590,70515.0,150,96.0,69.0,1755.0,2057.0,0.16363636363636364,-0.13383820983797767,1.0556641340677844,0.0041934633563994635,0,0,True,False,70650,104
20082019,40,bbMINDTREE,70440,70570,70505.0,130,96.0,69.0,1755.0,2057.0,0.16363636363636364,-0.1303841585843361,1.0604481546226696,0.0041934633563994635,0,0,True,True,70080,109
20082019,41,bbMINDTREE,70440,70645,70542.5,205,96.0,69.0,1755.0,2321.0,0.16363636363636364,-0.26923167878988685,1.0990441035172547,0.0041934633563994635,0,0,True,False,70565,15
20082019,42,bbMINDTREE,70440,70625,70532.5,185,96.0,69.0,1755.0,2321.0,0.16363636363636364,-0.2653874803105821,1.100840953156091,0.0041934633563994635,0,0,True,False,70640,15
20082019,43,bbMINDTREE,70440,70610,70525.0,170,96.0,69.0,1755.0,2321.0,0.16363636363636364,-0.26147220833430984,1.1019609840145823,0.0041934633563994635,0,0,True,True,69960,92
20082019,44,bbMINDTREE,70440,70590,70515.0,150,96.0,69.0,1755.0,2230.0,0.16363636363636364,-0.21639189075200121,1.0825057097399768,0.0041934633563994635,0,0,True,False,70605,15
20082019,45,bbMINDTREE,70440,70570,70505.0,130,96.0,69.0,901.0,2381.0,0.16363636363636364,-0.9590329203398278,1.989457503484177,0.0041934633563994635,0,0,True,False,70585,15
20082019,46,bbMINDTREE,70560,70635,70597.5,75,15.0,69.0,2171.0,1423.0,-0.6428571428571429,0.4237840529788904,1.212562972770853,0.0041934633563994635,0,0,True,False,70565,15
